2024-12-22 00:11:41.626 [reactor-http-nio-3] DEBUG discord4j.gateway.DefaultGatewayClient   : [G:1bf1fb93, S:0] Heartbeat acknowledged after PT0.1464762S
2024-12-22 00:12:22.734 [d4j-parallel-1-3] DEBUG discord4j.gateway.DefaultGatewayClient   : [G:1bf1fb93, S:0] Sending heartbeat PT41.1077252S after last ACK
2024-12-22 00:12:22.878 [reactor-http-nio-3] DEBUG discord4j.gateway.DefaultGatewayClient   : [G:1bf1fb93, S:0] Heartbeat acknowledged after PT0.14461S
2024-12-22 00:13:03.988 [d4j-parallel-1-3] DEBUG discord4j.gateway.DefaultGatewayClient   : [G:1bf1fb93, S:0] Sending heartbeat PT41.109169S after last ACK
2024-12-22 00:13:04.135 [reactor-http-nio-3] DEBUG discord4j.gateway.DefaultGatewayClient   : [G:1bf1fb93, S:0] Heartbeat acknowledged after PT0.1478419S
2024-12-22 00:13:45.240 [d4j-parallel-1-3] DEBUG discord4j.gateway.DefaultGatewayClient   : [G:1bf1fb93, S:0] Sending heartbeat PT41.104708S after last ACK
2024-12-22 00:13:45.383 [reactor-http-nio-3] DEBUG discord4j.gateway.DefaultGatewayClient   : [G:1bf1fb93, S:0] Heartbeat acknowledged after PT0.1425755S
2024-12-22 00:14:26.481 [d4j-parallel-1-3] DEBUG discord4j.gateway.DefaultGatewayClient   : [G:1bf1fb93, S:0] Sending heartbeat PT41.0978938S after last ACK
2024-12-22 00:14:26.613 [reactor-http-nio-3] DEBUG discord4j.gateway.DefaultGatewayClient   : [G:1bf1fb93, S:0] Heartbeat acknowledged after PT0.1331829S
2024-12-22 00:15:07.736 [d4j-parallel-1-3] DEBUG discord4j.gateway.DefaultGatewayClient   : [G:1bf1fb93, S:0] Sending heartbeat PT41.1221904S after last ACK
2024-12-22 00:15:07.872 [reactor-http-nio-3] DEBUG discord4j.gateway.DefaultGatewayClient   : [G:1bf1fb93, S:0] Heartbeat acknowledged after PT0.1361852S
2024-12-22 00:15:48.985 [d4j-parallel-1-3] DEBUG discord4j.gateway.DefaultGatewayClient   : [G:1bf1fb93, S:0] Sending heartbeat PT41.1125831S after last ACK
2024-12-22 00:15:49.134 [reactor-http-nio-3] DEBUG discord4j.gateway.DefaultGatewayClient   : [G:1bf1fb93, S:0] Heartbeat acknowledged after PT0.1496816S
2024-12-22 00:16:30.234 [d4j-parallel-1-3] DEBUG discord4j.gateway.DefaultGatewayClient   : [G:1bf1fb93, S:0] Sending heartbeat PT41.0999239S after last ACK
2024-12-22 00:16:30.368 [reactor-http-nio-3] DEBUG discord4j.gateway.DefaultGatewayClient   : [G:1bf1fb93, S:0] Heartbeat acknowledged after PT0.1344696S
2024-12-22 00:17:11.488 [d4j-parallel-1-3] DEBUG discord4j.gateway.DefaultGatewayClient   : [G:1bf1fb93, S:0] Sending heartbeat PT41.1188921S after last ACK
2024-12-22 00:17:11.623 [reactor-http-nio-3] DEBUG discord4j.gateway.DefaultGatewayClient   : [G:1bf1fb93, S:0] Heartbeat acknowledged after PT0.1360089S
2024-12-22 00:17:52.742 [d4j-parallel-1-3] DEBUG discord4j.gateway.DefaultGatewayClient   : [G:1bf1fb93, S:0] Sending heartbeat PT41.1184353S after last ACK
2024-12-22 00:17:52.873 [reactor-http-nio-3] DEBUG discord4j.gateway.DefaultGatewayClient   : [G:1bf1fb93, S:0] Heartbeat acknowledged after PT0.1315128S
2024-12-22 00:18:33.992 [d4j-parallel-1-3] DEBUG discord4j.gateway.DefaultGatewayClient   : [G:1bf1fb93, S:0] Sending heartbeat PT41.1183145S after last ACK
2024-12-22 00:18:34.128 [reactor-http-nio-3] DEBUG discord4j.gateway.DefaultGatewayClient   : [G:1bf1fb93, S:0] Heartbeat acknowledged after PT0.136111S
2024-12-22 00:19:15.239 [d4j-parallel-1-3] DEBUG discord4j.gateway.DefaultGatewayClient   : [G:1bf1fb93, S:0] Sending heartbeat PT41.1104963S after last ACK
2024-12-22 00:19:15.378 [reactor-http-nio-3] DEBUG discord4j.gateway.DefaultGatewayClient   : [G:1bf1fb93, S:0] Heartbeat acknowledged after PT0.1390623S
2024-12-22 00:19:56.493 [d4j-parallel-1-3] DEBUG discord4j.gateway.DefaultGatewayClient   : [G:1bf1fb93, S:0] Sending heartbeat PT41.1149007S after last ACK
2024-12-22 00:19:56.629 [reactor-http-nio-3] DEBUG discord4j.gateway.DefaultGatewayClient   : [G:1bf1fb93, S:0] Heartbeat acknowledged after PT0.1365912S
2024-12-22 00:20:37.743 [d4j-parallel-1-3] DEBUG discord4j.gateway.DefaultGatewayClient   : [G:1bf1fb93, S:0] Sending heartbeat PT41.1138433S after last ACK
2024-12-22 00:20:37.884 [reactor-http-nio-3] DEBUG discord4j.gateway.DefaultGatewayClient   : [G:1bf1fb93, S:0] Heartbeat acknowledged after PT0.1404657S
2024-12-22 00:21:18.992 [d4j-parallel-1-3] DEBUG discord4j.gateway.DefaultGatewayClient   : [G:1bf1fb93, S:0] Sending heartbeat PT41.1089223S after last ACK
2024-12-22 00:21:19.132 [reactor-http-nio-3] DEBUG discord4j.gateway.DefaultGatewayClient   : [G:1bf1fb93, S:0] Heartbeat acknowledged after PT0.1397735S
2024-12-22 00:22:00.242 [d4j-parallel-1-3] DEBUG discord4j.gateway.DefaultGatewayClient   : [G:1bf1fb93, S:0] Sending heartbeat PT41.1102118S after last ACK
2024-12-22 00:22:00.379 [reactor-http-nio-3] DEBUG discord4j.gateway.DefaultGatewayClient   : [G:1bf1fb93, S:0] Heartbeat acknowledged after PT0.1371812S
2024-12-22 00:22:41.490 [d4j-parallel-1-3] DEBUG discord4j.gateway.DefaultGatewayClient   : [G:1bf1fb93, S:0] Sending heartbeat PT41.1106826S after last ACK
2024-12-22 00:22:41.632 [reactor-http-nio-3] DEBUG discord4j.gateway.DefaultGatewayClient   : [G:1bf1fb93, S:0] Heartbeat acknowledged after PT0.1415621S
2024-12-22 00:23:22.738 [d4j-parallel-1-3] DEBUG discord4j.gateway.DefaultGatewayClient   : [G:1bf1fb93, S:0] Sending heartbeat PT41.1057268S after last ACK
2024-12-22 00:23:22.871 [reactor-http-nio-3] DEBUG discord4j.gateway.DefaultGatewayClient   : [G:1bf1fb93, S:0] Heartbeat acknowledged after PT0.1333602S
2024-12-22 00:24:03.990 [d4j-parallel-1-3] DEBUG discord4j.gateway.DefaultGatewayClient   : [G:1bf1fb93, S:0] Sending heartbeat PT41.1196857S after last ACK
2024-12-22 00:24:04.115 [reactor-http-nio-3] DEBUG discord4j.gateway.DefaultGatewayClient   : [G:1bf1fb93, S:0] Heartbeat acknowledged after PT0.1326568S
2024-12-22 00:24:45.237 [d4j-parallel-1-3] DEBUG discord4j.gateway.DefaultGatewayClient   : [G:1bf1fb93, S:0] Sending heartbeat PT41.1134906S after last ACK
2024-12-22 00:24:45.362 [reactor-http-nio-3] DEBUG discord4j.gateway.DefaultGatewayClient   : [G:1bf1fb93, S:0] Heartbeat acknowledged after PT0.1355675S
2024-12-22 00:25:26.483 [d4j-parallel-1-3] DEBUG discord4j.gateway.DefaultGatewayClient   : [G:1bf1fb93, S:0] Sending heartbeat PT41.1111378S after last ACK
2024-12-22 00:25:26.608 [reactor-http-nio-3] DEBUG discord4j.gateway.DefaultGatewayClient   : [G:1bf1fb93, S:0] Heartbeat acknowledged after PT0.1341042S
2024-12-22 00:26:07.729 [d4j-parallel-1-3] DEBUG discord4j.gateway.DefaultGatewayClient   : [G:1bf1fb93, S:0] Sending heartbeat PT41.1115903S after last ACK
2024-12-22 00:26:07.854 [reactor-http-nio-3] DEBUG discord4j.gateway.DefaultGatewayClient   : [G:1bf1fb93, S:0] Heartbeat acknowledged after PT0.1343779S
2024-12-22 00:26:48.991 [d4j-parallel-1-3] DEBUG discord4j.gateway.DefaultGatewayClient   : [G:1bf1fb93, S:0] Sending heartbeat PT41.1279144S after last ACK
2024-12-22 00:26:49.116 [reactor-http-nio-3] DEBUG discord4j.gateway.DefaultGatewayClient   : [G:1bf1fb93, S:0] Heartbeat acknowledged after PT0.1351155S
2024-12-22 00:27:30.237 [d4j-parallel-1-3] DEBUG discord4j.gateway.DefaultGatewayClient   : [G:1bf1fb93, S:0] Sending heartbeat PT41.1103852S after last ACK
2024-12-22 00:27:30.362 [reactor-http-nio-3] DEBUG discord4j.gateway.DefaultGatewayClient   : [G:1bf1fb93, S:0] Heartbeat acknowledged after PT0.1391348S
2024-12-22 00:28:11.484 [d4j-parallel-1-3] DEBUG discord4j.gateway.DefaultGatewayClient   : [G:1bf1fb93, S:0] Sending heartbeat PT41.1078836S after last ACK
2024-12-22 00:28:11.624 [reactor-http-nio-3] DEBUG discord4j.gateway.DefaultGatewayClient   : [G:1bf1fb93, S:0] Heartbeat acknowledged after PT0.1415602S
2024-12-22 00:28:52.729 [d4j-parallel-1-3] DEBUG discord4j.gateway.DefaultGatewayClient   : [G:1bf1fb93, S:0] Sending heartbeat PT41.1039445S after last ACK
2024-12-22 00:28:52.854 [reactor-http-nio-3] DEBUG discord4j.gateway.DefaultGatewayClient   : [G:1bf1fb93, S:0] Heartbeat acknowledged after PT0.1345771S
2024-12-22 00:29:33.992 [d4j-parallel-1-3] DEBUG discord4j.gateway.DefaultGatewayClient   : [G:1bf1fb93, S:0] Sending heartbeat PT41.1284133S after last ACK
